Index,X (m),Y (m),Z (m),Distance from Origin (m)
180,1.9235,3.5751,-0.2984,4.0707
181,26.5472,7.2628,-0.2980,27.5244
182,9.4485,2.0869,-0.2975,9.6808
183,9.0860,-0.7522,-0.2964,9.1219
184,16.2396,2.9666,-0.2941,16.5109
185,-1.8068,7.3327,-0.2938,7.5577
186,4.0353,2.1766,-0.2860,4.5938
187,20.3651,-2.2368,-0.2856,20.4895
188,-0.8088,4.1968,-0.2825,4.2833
189,0.2541,2.9765,-0.2787,3.0003
190,7.2446,-2.8262,-0.2752,7.7812
191,1.3301,1.5278,-0.2748,2.0442
192,-2.8026,4.5315,-0.2741,5.3352
193,0.4272,2.8834,-0.2724,2.9276
194,19.1138,0.8138,-0.2722,19.1331
195,5.4190,-0.5371,-0.2718,5.4523
196,1.7292,1.5824,-0.2705,2.3595
197,5.3977,-1.7005,-0.2692,5.6656
198,-7.4261,3.4375,-0.2685,8.1875
199,-6.5175,6.3702,-0.2674,9.1175
200,-1.2402,3.9260,-0.2663,4.1258
201,20.4100,-2.6199,-0.2661,20.5792
202,-1.9649,3.7251,-0.2625,4.2197
203,10.1784,2.0437,-0.2608,10.3848
204,0.3669,1.1302,-0.2598,1.2163
205,9.9733,-2.0310,-0.2588,10.1812
206,0.5725,2.0668,-0.2582,2.1601
207,30.2674,0.2502,-0.2578,30.2696
208,0.1820,2.2500,-0.2557,2.2718
209,0.4469,2.0645,-0.2503,2.1271
210,-0.5687,2.6388,-0.2481,2.7108
211,-2.6488,4.9026,-0.2479,5.5779
212,-0.2864,2.2662,-0.2477,2.2976
213,-7.5904,4.4644,-0.2477,8.8094
214,2.1018,0.9930,-0.2476,2.3378
215,-1.6092,4.2668,-0.2467,4.5668
216,0.1959,2.4431,-0.2463,2.4633
217,22.1775,-3.8520,-0.2449,22.5109
218,17.3668,-3.9767,-0.2439,17.8180
219,-3.0716,3.9837,-0.2428,5.0363
220,2.4818,0.5041,-0.2409,2.5439
221,1.0417,1.6872,-0.2408,1.9975
222,14.4597,1.0065,-0.2387,14.4966
223,0.0973,2.2131,-0.2322,2.2273
224,17.9704,-3.3570,-0.2302,18.2827
